疾病,疾病介紹
肥胖症,盡量避免熬夜或日夜顛倒，睡眠充足，三餐定時，養成適度的運動習慣(散步、快走、有氧舞蹈、騎腳踏車、爬樓梯)。避免油炸油煎類的食物以及糖分過高的食物(含糖飲料、麵包、汽水、蛋糕、餅乾)。食物選擇建議選用含纖維量高之蔬菜、水果與全穀類。吃飯時應細嚼慢嚥，並改變食用順序，先吃菜再吃肉最後吃飯類。
第二型糖尿病,首要注意體重的控制，若有過重的現象，需要做減重。平時養成規律的生活作息和運動習慣。飲食需避免本身含糖量過高或容易上升血糖的食物，例如含糖飲料、麵包、汽水、蛋糕、餅乾、糖果、白麵包、白饅頭、西瓜、煮的地瓜、烤馬鈴薯、鬆餅這些容易造成血糖大幅震盪。
高血壓,飲食清淡為原則，避免過度調味的食物與烹飪方式(滷、燉、醃製食品)。建議多攝取高纖維未加工的天然食物(大麥、燕麥、糙米、蔬菜、水果)。鉀離子的攝取有助於鈉離子的排出，有助預防及改善高血壓，包括香蕉、哈密瓜，番茄、柳丁、牛奶及芹菜等深綠色蔬菜可多選用。
高血脂,食物避免油炸、油煎或油酥的食物、帶皮的肉類、膽固醇含量高的食物(動物內臟或蟹黃)。高纖維食物可在腸道結合膽固醇，減少其吸收。包括：五榖根莖類(如糙米、胚芽米、全麥麵包等)、未加工的豆類(黃豆、紅豆、綠豆等)、各類蔬菜(如葉菜類、竹筍、四季豆等)、各類水果。
高尿酸血症,避免過量飲酒。每日飲用至少2000C.C的白開水(不包括飲料、果汁、咖啡)且不憋尿。減少應酬和大魚大肉的頻率。應儘量避免普林含量高之動物內臟(如腦、肝、腰子等)、海鮮(牡蠣、蛤、小管、小魚干、吻仔魚、虱目魚、吳郭魚等)、肉湯、肉汁、雞精等。
冠狀動脈疾病,須特別加強注意血壓、血脂、血糖值及體重的控制。養成規律適度的運動。避免高油脂(如油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。飲食中以天然食物為主，另外需增加蔬果的攝取量，並選用能增加抗氧化營養素食材(甜椒、綠花椰菜、大蒜、洋蔥、堅果、紫葡萄、柑橘、綠茶)的攝取以保護血管。
心房顫動,需特別注意血脂與血壓的控制。避免過度情緒起伏和過量飲酒。飲食方面盡量少吃過度刺激性、高油脂、重鹹、濃茶、咖啡及酒精類的食物。多吃柑橘類水果和十字花科蔬菜（花椰菜、捲心菜、甘藍、蘿蔔、菠菜、油菜）以保護心臟血管健康。
腦中風,須特別加強注意血壓、血脂、血糖值及體重的控制。養成規律適度的運動。避免高油脂(如油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。飲食中以天然食物為主，並多選用能增加抗氧化營養素食材(甜椒、綠花椰菜、大蒜、洋蔥、堅果、紫葡萄、柑橘、綠茶)的攝取以保護血管。
靜脈曲張,最有效的方法是穿著彈性襪，早上起床前穿上。平常多把腳舉高，坐辦公室者每小時起身活動。不要盤坐或蹺二郎腿，穿寬鬆的衣服、避免穿緊身衣著或穿高跟鞋。少喝酒，酒精會加速靜脈曲張的發生。慢性咳嗽者、便秘者或尿道阻塞者請尋找適當治療(此類疾病的患者會增加腹部用力而加速靜脈曲張的發生)。
晚發型阿茲海默症,應避免營養攝取不足而增加退化速度，少鹽少油、規律運動、控制體重。建議可以多選用含有Omega-3脂肪酸(鮭魚、鮪魚、鯖魚、秋刀魚)、富含維生素C(木瓜、西瓜、鳳梨、草莓、青椒、芽菜、芥藍、菠菜、花椰菜)、維生素E(豆類、胚芽、堅果、南瓜)的食物。
帕金森氏症,生活中養成規律生活作息並培養適度的戶外運動習慣。飲食增加蔬果攝取，尤其是富含花青素的藍莓、紫葡萄、茄子、紫洋蔥、紫甘藍。蛋白質以植物性蛋白質為主，例如黃豆、豆腐、豆皮、豆干、豆包、毛豆，降低奶類及肉類製品攝取，並建議可以飲用茶或咖啡。
退化性關節炎,首要目標便是控制體重，維持理想體重以減輕關節的負擔。避免油炸油煎類的食物去破壞關節的軟骨。建議可以多選用含有Omega-3脂肪酸(鮭魚、鮪魚、鯖魚、秋刀魚)、能抗發炎物質的香辛料(蔥、薑、蒜、辣椒、咖哩)以及富含有多酚類、類黃酮的蔬果(甜椒、櫻桃、柳丁、橘子、葡萄柚、葡萄)。
骨質疏鬆,質疏鬆須搭配飲食與運動。健走和慢跑等輕度的負重有氧運動有助於防止骨質疏鬆。避免飲用過多的碳酸飲料、咖啡及濃茶。飲食不可過於重鹹。建議多補充含高鈣的食物(牛奶、優酪乳、優格、起司、吻仔魚、小魚乾、黑芝麻、海帶、紫菜、九層塔、芥藍、莧菜)及維生素C(芭樂、奇異果、番茄)以整體幫助骨骼健康。
肌少症,攝取充足的蛋白質，高齡者要預防肌少症蛋白質需要量建議為1-1.5公克/公斤，建議熱量需求為30-40大卡/公斤。規律的運動，維持肌肉的力量，使體能活動不至於下降，進而減少跌倒的機會。阻力運動可藉由增加肌肉細胞中蛋白質的合成，改善肌力及肌肉量，如深蹲、仰臥起坐、側抬腿等；而有氧運動包括慢跑、健走、游泳、騎腳踏車等，能夠促使骨骼肌增大，並增加肌肉量。
子宮內膜異位症,以溫熱食物為主，不要過度進補(薑母鴨、羊肉爐、四物湯、中將湯、八珍、十全)，不要吃冰、喝冷飲，盡量少吃涼性蔬果(冬瓜、絲瓜、苦瓜、西瓜、哈蜜瓜等瓜類食物，和生菜沙拉、白蘿蔔、葡萄柚、大白菜、蓮藕、橘子、水梨、柚子、蕃茄，以及生菜汁、椰子汁、青草茶、仙草茶)，建議月經來之前，可用黑糖、老薑煮成薑茶，或煮黑糖紅豆湯，黑糖活血、紅豆補血。
子宮肌瘤,建議維持正常體重，應避免高油脂、高熱量食物如炸雞排，不要過度進補，營養均衡以維持良好免疫力，並可攝取益生菌以調節免疫力。可多攝取蔬果與優質蛋白質如魚肉，幫助維持肝臟機能正常運作，避免因肝臟機能降低而導致體內雌二醇過多刺激肌瘤生成。少吃豆製品、帶殼海鮮等破壞體內雌激素平衡的食物。
多囊性卵巢症候群,切記做好體重管理，養成規律的運動習慣。飲食增加各種新鮮蔬果及全穀類的攝取，避免高油脂(如油炸油煎物、加工品)、重鹹、加工(貢丸、火腿、香腸、漢堡肉)與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。蛋類、帶殼海鮮及其相關製品須減少攝取，以免誘發荷爾蒙分泌。
女性尿道感染,注意水份的攝取，每天水量2000ml，旦不要憋尿，以把細菌沖離泌尿系統。如廁後的擦拭應由前往後，避免細菌由肛門口往尿道傳播。性行為後應儘量喝水以加速排出已存在之細菌以及保持會陰清潔。避免辛辣和刺激性溫補、燥熱的食物食物，會使發炎更加嚴重。攝取糖和過多油脂會干擾免疫系統的功能。避免含咖啡因與酒精的飲料，發炎時吃利尿食物會讓不舒服症狀更嚴重。
類風濕性關節炎,做運動多出汗，可幫助排除體內多餘的酸性物質、保持良好的心情。避免過度飲用酒精和須謹慎使用藥物。飲食避免高油脂(油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)。
紅斑性狼瘡,平時生活作息應規律、適度休息。避免陽光曝曬。飲食避免食用可能富含雌性荷爾蒙之食物、避免以口服避孕葯或子宮內避孕器方式避孕。降低攝取易導致過敏食物(海鮮類)。食材可選用能調節免疫功能及抗氧化抗發炎的食物為主，例如含有Omega-3脂肪酸(鮭魚、鮪魚、鯖魚、秋刀魚)、富含維生素C(木瓜、鳳梨、草莓、青椒、芥藍、菠菜、花椰菜)、維生素E(胚芽、堅果、南瓜)的食物。
自體免疫甲狀腺疾病,平時生活作息應規律、適度休息。避免過度飲用酒精和須謹慎使用藥物。飲食避免高油脂(如油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。食材選用可以能調節免疫功能及抗氧化抗發炎的食物為主，例如含有Omega-3脂肪酸(鮭魚、鮪魚、鯖魚、秋刀魚)、富含維生素C(木瓜、西瓜、鳳梨、草莓、青椒、芽菜、芥藍、菠菜、花椰菜)、維生素E(豆類、胚芽、堅果、南瓜)的食物。
僵直性脊椎炎,盡量保持良好及正確的坐姿、睡姿及走路之姿勢，避免長時間維持一個姿勢不動(如久坐)、多做伸展運動及伸張脊椎的運動，以預防脊椎的變形。飲食避免高油脂、重鹹與精緻高糖分食物食物。食材可選用能調節免疫功能及抗氧化抗發炎的食物為主，如含有Omega-3脂肪酸(鮭魚、鮪魚、鯖魚、秋刀魚)、富含維生素C(木瓜、西瓜、鳳梨、草莓、青椒、芽菜、芥藍、菠菜、花椰菜)、維生素E(豆類、胚芽、堅果、南瓜)的食物。
肝硬化,生活規律、不熬夜、保持適度運動、心情放輕鬆。避免過度飲用酒精和須謹慎使用藥物。飲食中避免可能含有黃麴毒素的食物，如花生、花生醬，也需避免過鹹、過於刺激性的食物。多攝取富含抗氧化的食物都對肝臟有益，可以促進肝臟的代謝功能。例如含維他命C的食物如柑橘類、檸檬、青椒等。含維他命Ａ的食物如黃色的南瓜、木瓜、胡蘿蔔等，含維生素B群的食物如五穀雜糧類，還有微量礦物質如硒、鋅都有抗氧化的作用，如蒜。卵磷脂可以促進肝臟的代謝，如蛋黃、大豆、玉米都有含有卵磷脂。
脂肪肝,平時須隨時注意體重控制，但千萬勿以斷食或長時間飢餓的方式減重。飲酒不過量並加上定期適度的運動可以預防脂肪肝。另外，飲食避免高油脂(如油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。抗氧化的食物都對肝臟有益，可以促進肝臟的代謝功能。例如含維他命C的食物如柑橘類、檸檬、青椒等。含維他命Ａ的食物如黃色的南瓜、木瓜、胡蘿蔔等，含維生素B群的食物如五穀雜糧類，還有微量礦物質如硒、鋅都有抗氧化的作用，如蒜。卵磷脂可以促進肝臟的代謝，如蛋黃、大豆、玉米都有含有卵磷脂。
膽石症(肝內結石、膽結石),須隨時注意體重控制，千萬勿以斷食或長時間飢餓的方式減重。飲食原則－定時定量、少量多餐、忌暴飲暴。飲食內容－低糖、低脂(減少動物性脂肪的攝取，同時要注意選擇烹調用油，椰子油、棕櫚油是飽和脂肪高的油脂，避免使用)、低膽固醇和高纖維。飲食不需特別限制鈣質，鈣質攝取仍須足夠，例如豆腐、小魚乾、芝麻、牛奶。建議每天飲用至少2000至3000C.C的白開水(不包含飲料、果汁、咖啡)，
消化性潰瘍、胃食道逆流,生活中應避免過高的精神壓力、飲食避免高油脂(如油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。吃飯時須細嚼慢嚥不可暴飲暴食，飯後半小時至一小時後可以做輕度的運動(散步、太極)，不可吃飽後立即躺下。食材方面可以選擇秋葵、山藥、黑白木耳有果膠和糖類組成的黏液，可保護胃壁，還可促進腸胃蠕動、防止便秘，是健胃潤腸食材。
大腸息肉症,平時須隨時注意體重控制。培養適度定期的運動避免長久性久坐。飲食避免高油脂(如油炸油煎物、加工品)、重鹹與精緻高糖分食物(含糖飲料、麵包、汽水、蛋糕、餅乾)食物。隨時留意自己的排便頻率。飲食以天然食物為主，另外增加各種蔬果的攝取比例，蛋白質比例以植物性蛋白質為主，例如豆腐、豆干、豆皮、豆包、黃豆、黑豆。食物可以多選用能增加抗氧化營養素食材(檸檬、甜椒、綠花椰菜、大蒜、洋蔥、堅果、紫葡萄、柑橘、綠茶)的攝取以保護腸胃道。
胰臟炎,定期檢查有無膽囊結石。不能吃得太油膩，特別在晚上更要注意。不能酗酒，飲酒要適量。不能吃得太飽。切忌暴飲暴食。
白內障,日照強烈下，在戶外工作或是從事戶外活動時，最好配戴防紫外線的眼鏡。飲食方面可以選擇富含花青素的食物(藍莓、黑莓、櫻桃、紫甘藍)、富含葉黃素、類胡蘿蔔素的食物(菠菜、花椰菜、荷蘭芹、羅曼葉、洋蔥、玉米、南瓜、柳橙、菠菜、芥藍)及富含DHA的食物(深海魚肉如鮭魚、鮪魚)。素食者可吃亞麻仁籽、紫蘇籽或藻類。若眼睛有任何不舒服或視力模糊色調改變、怕光、眼前黑點、複視等現象，及早就醫治療。
青光眼,多選擇食用清淡食物。用眼20分鐘後，應抬頭看6公尺外的距離20秒，可讓眼睛獲得短暫的放鬆與休息。飲食方面可以選擇 富含花青素的食物(藍莓、黑莓、櫻桃、紫甘藍)、富含葉黃素、類胡蘿蔔素的食物(菠菜、花椰菜、荷蘭芹、羅曼葉、洋蔥、玉米、南瓜、柳橙、菠菜、芥藍)及富含DHA的食物(深海魚肉如鮭魚、鮪魚)。若眼睛有任何不舒服或視力模糊色調改變、怕光、眼前黑點、複視等現象，及早就醫治療。
黃斑部病變,出門時如果有烈陽時，要記得戴太陽眼鏡。平日飲食應避免重鹹。飲食方面可以選擇富含抗氧化的食物維生素C、E、玉米黃素、葉黃素(藍莓、黑莓、櫻桃、紫甘藍、茄子、菠菜、花椰菜、荷蘭芹、羅曼葉、洋蔥、蘆筍、玉米、南瓜、柳橙、菠菜、芥藍)及富含DHA的食物(深海魚肉如鮭魚、鮪魚)。若眼睛有任何不舒服或視力模糊色調改變、怕光、眼前黑點、複視等現象，及早就醫治療。
高度近視,至少每半年到眼科診所作眼底散瞳檢查，若有早期病變如裂孔，先予以雷射治療。以防止惡化成視網膜剝離。平時多補充適量的維生素A、C、E，多少有所助益。
憂鬱症,平常可多攝取Omega-3不飽和脂肪酸，像是鮭魚、鯖魚、核桃、胡桃等。每日要攝取足夠的蛋白質，如豆腐、海鮮、雞肉雞蛋等。另外可以全穀類代替白米，並增加蔬菜攝取，來獲取足夠的B群。生活上盡量維持作息規律、充足睡眠。而有氧運動如跑步、球類運動可促進血液循環，幫助釋放壓力。
躁鬱症,日常生活中勿給自己太大的壓力，找尋適合自己的方式來調適心情：像是靜態的冥想、聽音樂，或是動態的活動如跳舞、游泳等。飲食原則為均衡攝取多種食物，可吃香蕉來獲取色胺酸，幫助血清素正常製造。另外養成固定作息、每日充足睡眠，也能幫助穩定情緒。
思覺失調症,精神分裂症在2014年已被正名為思覺失調。日常生活中宜學習做好情緒管理，正當釋放壓力。工作和生活需取得平衡，避免身心長期處於透支狀態。飲食上可攝取多種不同的食物，多蔬菜水果，來獲取足夠的營養素。平常宜養成規律作息，每天睡足8小時。
慢性阻塞性肺病,吸菸為造成慢性阻塞性肺病的最主要原因，而戒菸的時間越晚，對肺的傷害越大，故最好的預防方法為及早戒菸。另外要避免暴露於二手菸環境以及廚房油煙，空氣汙染程度嚴重時要配戴口罩。有氣喘、支氣管過敏病史者罹患風險較高，宜積極控制病情。生活上可養成規律運動習慣，並減少攝取容易產氣的食物（如洋蔥、青椒等）。
攝護腺肥大,造成男性攝護腺肥大的主要原因為年紀、肥胖以及雄性荷爾蒙。平常飲食上要避免蛋白質攝取過多，並減少動物性脂肪（如牛油、奶油）；可增加攝取豆漿、黃豆來補充植物性雌激素。另外要避免吃辣和飲酒，並攝取足夠的纖維，避免便秘壓迫攝護腺。另外可攝取番茄、木瓜、葡萄柚、西瓜來增加膳食中的茄紅素。
腎結石,每天至少攝取2000毫升的水分，維持正常代謝；可觀察排尿次數來檢視水份攝取是否充足（每天至少7-8次）。攝取過多的鹽分會增加尿鈣的排出，故宜減少醃漬食品及調味過重的外食。另外宜控制富含草酸食物的攝取量，像是菠菜、花生、巧克力、可樂及濃茶等。另外尿路反覆感染易增加風險，若有發生宜積極治療。
腎衰竭,台灣洗腎患者約四成為糖尿病腎病變發展而成，而高血壓亦會導致腎臟微血管硬化，因此宜將血糖及血壓數值維持在正常範圍，以免影響腎臟功能。平日宜避免攝取過多的紅肉、精緻澱粉及加工食品，並且補充足夠的水分。可每周吃兩次的魚類（以清蒸或烘烤方式料理），以增加Omega-3脂肪酸攝取。
氣喘,吸菸和生活在二手菸環境，會增加氣喘發生率。日常生活中，宜時常打掃居家環境衛生，避免塵?滋生。氣溫急遽的變化也容易誘發氣喘，在冬日外出時宜佩戴口罩，夏天進出冷氣房時可加件薄外套。在呼吸道感染流行期間，避免出入公共場所。飲食上要避免攝取冰品或寒涼的瓜果，並少吃油炸食物。
過敏性鼻炎,過敏性鼻炎的預防重點為避開過敏原。在台灣塵?為吸入性過敏的主因，因此在臥室中應避免放置地毯或絨毛玩具，搭配使用防?寢具，並維持室內空氣流通、相對溼度控制在50%以下。飲食上可以攝取優格，幫助改變腸道菌叢生態，維持免疫系統的正常運作；另外在每周吃2-3次的魚類，來補充Omega-3脂肪酸。
