保健品名,效用
黃精芝麻膠囊,含黃精萃取物，提振精神。
金針菇膠囊,含金針菇萃取物，有助於維持健康，使排便順暢。
高麗菜錠,高麗菜萃取含維生素U，幫助維持消化道機能。
啤酒酵母錠,含維生素B群，可促進新陳代謝，調節生理機能。
褐藻糖膠巴西磨菇錠,可調節生理機能、增強體力、滋補強身。
紅酒多酚錠,可幫助調整體質，養顏美容、青春美麗。
綠茶錠,可調整體質，維持消化道機能，促進新陳代謝。
青棗五味子錠,促進新陳代謝，調節生理機能。
水母蛋白錠,可幫助養顏美容，青春美麗。
茄紅素錠,可幫助調節生理機能，營養補給。
舞茸錠,可幫助調整體質，營養補給。
Q-10紅藜膠囊,能幫助調節生理機能、養顏美容、青春美麗。
卵磷脂膠囊,有助於促進新陳代謝、調節生理機能。
綠藻錠,幫助維持消化道機能，調整體質及維持健康。
白藜蘆醇錠,能幫助調整體質，養顏美容、維持青春美麗。
魔鬼爪錠,自南非植物鉤麻的魔鬼爪，能幫助調節生理機能，維持健康。
黑醋栗錠,黑醋栗含花青素及檞皮素，能幫助調節生理機能。其亦富含維生素C，具抗氧化作用。
葉黃素膠囊,萃取自金盞花之葉黃素，有助於調節生理機能。含維生素A，有助於維持在暗處中的視覺。
香蕉雄蕊錠,香蕉雄蕊萃取有助於調節生理機能，滋補強身。
芹菜籽錠,芹菜籽萃取能幫助調整體質，促進水份新陳代謝。
益生菌膠囊,含專利Babyguard母乳益生菌與TS6有益菌，可改變細菌叢生態，幫助維持消化道機能，促使排便順暢。
黑豆皮錠,黑豆種皮萃取含有矢車菊素、維生素C與維生素E，具抗氧化作用，有助於減少自由基的產生，調節生理機能。
冬蟲夏草錠,含冬蟲夏草菌絲體，能幫助調整調整生理機能，增強體力、滋補強身。
蜂王乳錠,蜂王乳中含有B群和癸烯酸，可幫助調節生理機能，營養補給、養顏美容。
刺五加錠,含刺五加及紅景天萃取，能幫助增強體力，使精神旺盛。
天山雪蓮錠,天山雪蓮萃取含多酚與類黃酮，有助於調整體質，養顏美容、青春美麗。
OPCE膠囊,含花青素及維生素C及維生素E，具抗氧化作用，能幫助養顏美容。
納豆錠,納豆萃取中含有納豆激?，能幫助調整生理機能，維持健康。
海藻鈣膠囊,來自愛爾蘭海藻萃取，全素可食用。含鈣質及維生素D，有助於維持骨骼與牙齒的正常發育及健康。
山苦瓜錠,山苦瓜分離出的三?類化合物，有助於調節生理機能。
香蕉舒眠錠,專利成分Happy Banana，可幫助入睡。
銀杏錠,銀杏含銀杏苦內酯，有助於調整體質，健康維持。
蔓越莓錠,蔓越莓含原花青素、類黃酮素及多酚類化合物，有助於維持健康。
鳳梨酵素錠,鳳梨酵素有助於調整體質。
葉酸錠,有助於紅血球的形成。有助於胎兒正常發育生長。
薑黃錠,含薑黃素，可幫助調整體質，促進新陳代謝，增強體力。
黑蒜精錠,可幫助調節生理機能，健康維持。
紅麴膠囊,含有monacolin-K，有助於調節生理機能。
B群錠,含維生素B1、B2、菸鹼酸、B6、葉酸、B12、泛酸及生物素，有助於維持正常能量代謝，維持皮膚、心臟及神經系統的正常功能。
茯苓錠,能調整體質、幫助入睡。
酸棗仁錠,能調整體質、幫助入睡。
蕎麥種皮錠,蕎麥殼萃取物Soba，具有調節生理機能，健康維持。
肉桂錠,含有水溶性Type A polymers能幫助調節生理機能。
黃蓮錠,是民間常見的中藥食材，可降火氣、清熱燥濕。
花生膜錠,含SugarLock花生膜萃取、薑黃素與白腎豆萃取物，促進新陳代謝。
魚油膠囊,含omega-3脂肪酸，有助於健康維持、營養補給。
黃精馬卡紅蔘錠,中藥材黃精的萃取物，有助於滋補強身，增強體力。
快樂香蕉雙層錠,專利成分Happy Banana加上茯苓與酸棗仁，可幫助入睡、調節生理機能。
藤黃果錠,藤黃果萃取物（HCA 羥基檸檬酸）能幫助調整體質，促進新陳代謝。
特濃胺基酸,含專利柑橘幼果，可促進新陳代謝。
金針菇錠,金針菇萃取有助於調節生理機能，使排便順暢。
芭樂幼果錠,含番石榴萃取物，有助於調節生理機能。
黑苦瓜錠,含專利黑苦瓜萃取物，可幫助入睡、調節生理機能。
青梨幼果錠,含專利青梨幼果萃取物，豐富的綠原酸與總多酚，有助於健康維持。
柑橘幼果錠,含專利柑橘幼果萃取，可促進新陳代謝。
